governorate,year,illiteracy
1101,1997,15432
1101,2007,10920
1101,2017,6056
1105,1997,3535
1105,2007,2570
1105,2017,1955
1110,1997,10611
1110,2007,6762
1110,2017,3688
1115,1997,17284
1115,2007,11536
1115,2017,7761
1120,1997,5761
1120,2007,3768
1120,2017,2102
1125,1997,3871
1125,2007,2818
1125,2017,1724
1230,1997,16645
1230,2007,11039
1230,2017,9806
1235,1997,2955
1235,2007,2098
1235,2017,1962
1240,1997,7771
1240,2007,4375
1240,2017,4377
1345,1997,9830
1345,2007,6858
1345,2017,3938
1350,1997,32610
1350,2007,24804
1350,2017,18554
2413,1997,22781
2413,2007,12944
2413,2017,9493
2455,1997,13235
2455,2007,9384
2455,2017,6410
2465,1997,10718
2465,2007,6991
2465,2017,4344
2470,1997,14752
2470,2007,10151
2470,2017,6709
2475,1997,9252
2475,2007,6909
2475,2017,4849
