governorate,year,population
1101,1997,203026
1101,2007,256618.6924
1101,2017,326933.8842
1105,1997,36609
1105,2007,50260.94885
1105,2017,68525.7554
1110,1997,134110
1110,2007,157987.741
1110,2017,189947.9737
1120,1997,72007
1120,2007,91216.56577
1120,2017,116414.0387
1125,1997,48538
1125,2007,59570.40462
1125,2017,74086.4133
1115,1997,261340
1115,2007,320829.8703
1115,2017,399064.5859
1230,1997,213582
1230,2007,279729.7808
1230,2017,366920.3957
1240,1997,328601
1240,2007,363648.7293
1240,2017,437198.9115
1235,1997,32713
1235,2007,42320.18077
1235,2017,54901.3748
1345,1997,137286
1345,2007,176235.4251
1345,2017,227348.395
1350,1997,405664
1350,2007,552164.3271
1350,2017,747428.2718
2455,1997,183373
2455,2007,270494.3935
2455,2017,389608.3557
2413,1997,367388
2413,2007,496691.5984
2413,2017,666559.3714
2465,1997,147877
2465,2007,205413.5107
2465,2017,282429.5378
2470,1997,200704
2470,2007,270827.9023
2470,2017,363582.5349
2475,1997,122865
2475,2007,173538.618
2475,2017,241218.2002
